Date,Open,High,Low,Close,Adj Close,Volume
2019-05-09,3.230000,3.230000,3.000000,3.018000,3.018000,753000
2019-05-10,2.960000,3.080000,2.846000,2.989000,2.989000,1191700
2019-05-13,2.950000,2.950000,2.817000,2.852000,2.852000,856900
2019-05-14,2.890000,3.015000,2.834000,2.850000,2.850000,715400
2019-05-15,2.850000,2.950000,2.770000,2.890000,2.890000,663000
2019-05-16,2.980000,2.980000,2.880000,2.890000,2.890000,566300
2019-05-17,2.900000,2.970000,2.860000,2.860000,2.860000,463900
2019-05-20,2.860000,3.030000,2.860000,2.870000,2.870000,183200
2019-05-21,2.860000,3.100000,2.860000,3.058000,3.058000,556800
2019-05-22,3.160000,3.190000,3.050000,3.150000,3.150000,724300
2019-05-23,3.180000,3.180000,2.950000,3.000000,3.000000,528100
2019-05-24,3.070000,3.120000,2.980000,3.000000,3.000000,518400
2019-05-28,2.910000,3.030000,2.910000,2.980000,2.980000,512800
2019-05-29,2.860000,3.000000,2.850000,2.900000,2.900000,657400
2019-05-30,2.902000,2.980000,2.750000,2.780000,2.780000,585800
2019-05-31,2.750000,2.770000,2.582000,2.602000,2.602000,815500
2019-06-03,2.610000,2.700000,2.500000,2.550000,2.550000,864500
2019-06-04,2.581000,2.770000,2.510000,2.751000,2.751000,548800
2019-06-05,2.808000,2.880000,2.650000,2.690000,2.690000,394100
2019-06-06,2.692000,2.720000,2.630000,2.670000,2.670000,417000
2019-06-07,2.640000,2.750000,2.640000,2.690000,2.690000,264700
2019-06-10,2.810000,2.810000,2.670000,2.670000,2.670000,710000
2019-06-11,2.700000,2.726000,2.530000,2.560000,2.560000,584900
2019-06-12,2.555000,2.637000,2.520000,2.570000,2.570000,424000
2019-06-13,2.630000,2.630000,2.500000,2.520000,2.520000,453200
2019-06-14,2.460000,2.570000,2.380000,2.401000,2.401000,592100
2019-06-17,2.330000,2.430000,2.330000,2.380000,2.380000,472900
2019-06-18,2.374000,2.520000,2.368000,2.485000,2.485000,411800
2019-06-19,2.489000,2.566000,2.430000,2.484000,2.484000,486300
2019-06-20,2.580000,2.600000,2.490000,2.562000,2.562000,431900
2019-06-21,2.502000,2.570000,2.450000,2.490000,2.490000,318500
2019-06-24,2.520000,2.520000,2.398000,2.422000,2.422000,360600
2019-06-25,2.397000,2.430000,2.355000,2.370000,2.370000,493000
2019-06-26,2.310000,2.440000,2.310000,2.430000,2.430000,188300
2019-06-27,2.413000,2.520000,2.413000,2.450000,2.450000,540100
2019-06-28,2.450000,2.520000,2.430000,2.480000,2.480000,325900
2019-07-01,2.720000,2.720000,2.500000,2.520000,2.520000,415900
2019-07-02,2.482000,2.540000,2.428000,2.440000,2.440000,555900
2019-07-03,2.440000,2.500000,2.370000,2.395000,2.395000,206200
2019-07-05,2.390000,2.560000,2.360000,2.560000,2.560000,422200
2019-07-08,2.600000,2.600000,2.470000,2.538000,2.538000,339300
2019-07-09,2.440000,2.571000,2.440000,2.550000,2.550000,291500
2019-07-10,2.600000,2.600000,2.500000,2.500000,2.500000,452000
2019-07-11,2.491000,2.600000,2.430000,2.469000,2.469000,215600
2019-07-12,2.400000,2.600000,2.360000,2.400000,2.400000,537400
2019-07-15,2.380000,2.470000,2.320000,2.415000,2.415000,313400
2019-07-16,2.400000,2.475000,2.380000,2.440000,2.440000,253400
2019-07-17,2.440000,2.530000,2.400000,2.518000,2.518000,348000
2019-07-18,2.475000,2.520000,2.420000,2.520000,2.520000,228200
2019-07-19,2.565000,2.565000,2.450000,2.460000,2.460000,265600
2019-07-22,2.462000,2.510000,2.370000,2.386000,2.386000,549200
2019-07-23,2.340000,2.405000,2.270000,2.312000,2.312000,657800
2019-07-24,2.275000,2.300000,2.190000,2.210000,2.210000,724600
2019-07-25,2.180000,2.290000,2.123000,2.140000,2.140000,617700
2019-07-26,2.140000,2.151000,2.025000,2.090000,2.090000,946700
2019-07-29,2.050000,2.140000,2.010000,2.120000,2.120000,540800
2019-07-30,2.060000,2.300000,2.060000,2.245000,2.245000,529000
2019-07-31,2.335000,2.350000,2.250000,2.270000,2.270000,435100
2019-08-01,2.255000,2.300000,2.140000,2.160000,2.160000,293100
2019-08-02,2.190000,2.362000,2.190000,2.350000,2.350000,590300
2019-08-05,2.402000,2.500000,2.220000,2.450000,2.450000,619800
2019-08-06,2.440000,2.500000,2.390000,2.400000,2.400000,694300
2019-08-07,2.545000,2.600000,2.450000,2.580000,2.580000,1287700
